id,title,subtitle,summary,category_0_tid,Spots_0_id
6719,Spannende speurtocht in Gent,Moord met een geurtje,Tweedelige speurtocht.,3340,6795
8470,Lichtfestival Gent,Een lichtparcours doorheen de stad ,"Een verlicht parcours doorheen de historische binnenstad leidt je van de ene verrassing naar de andere.
Op naar de volgende editie in 2018!",3387,8841
8480,Vuurwerk,,Zorg dat u om middernacht op de afspraak bent!,3387,6691
8537,Festival de la lumiere,,Le Festival de la Lumière souhaite braquer les projecteurs sur ce plan d’éclairage ,3387,6601
8547,Feux d'artifice,,Soyez au rendezvous à minuit!,3387,7411
8594,Light Festival Ghent,,The Light Festival wishes to highlight this lighting plan ,3387,6700
8604,Fireworks,,Make sure you're at the rendezvous at midnight!,3387,8177
8651,Lichtfestival Gent,,Das Lichtfestival soll diesen Beleuchtungsplan in zusätzlichem Maße in den Blickpunkt rücken,3387,6667
8661,Feuerwerk,,Seien Sie um Mitternacht zur Stelle!,3387,7695
8708,Festival de la Luz de Gante,,Un recorrido invernal por el casco histórico nos lleva de una sorpresa a otra.,3387,11772
8718,Fuegos artificiales,,¡Acuda a la cita de medianoche! ¡Como mínimo recibirá tres besos para saludar el año nuevo!,3387,7861
9692,Omloop Het Nieuwsblad,,Start én aankomst van openingswedstrijd van het internationaal wielerseizoen.,3385,6863
9697,Gent Jazz Festival,,Liefhebbers van jazz kunnen elk jaar in juli hun hartje ophalen tijdens het Gent Jazz Festival.,3384,6865
9701,Open Monumentendag,,"Tijdens de Open Monumentendag staat het onroerend erfgoed centraal. Je kunt er de vaste waarden bezoeken, maar ook een kijkje nemen op plaatsen die anders niet toegankelijk zijn.",3387,8292
9702,Gent Festival van Vlaanderen,,Gent wordt het mekka van de muziekliefhebber.,3379,8292
9704,Film Fest Gent,,Het Film Fest Gent is een vaste waarde in het Vlaamse en internationale cultuurlandschap.,3387,6821
9705,Patersholfeesten,,"De oudste wijk van Gent organiseert haar eigen mini-feesten, met maximale sfeer en ambiance.",3384,6849
9709,Zesdaagse,,De allerbeste pisterenners strijden om de gegeerde overwinning in het legendarische Kuipke (Citadelpark).,3385,9707
9714,Film Fest Gent,,Le Film Fest Gent est une valeur sûre du paysage culturel flamand et international,3387,7381
9715,Film Fest Gent,,The Film Fest Gent has become a not-to-be-missed event on the Flemish and international cultural scene.,3387,8148
9716,Film Fest Gent,,Das Film Fest Gent ist eine feste Größe in der flämischen und internationalen Kulturlandschaft. ,3387,7666
9717,Film Fest Gent,,El Film Fest Gent es un valor fijo en el panorama cultural de Flandes y de todo el mundo.,3387,7832
9718,Gent Jazz Festival,,Amateurs du jazz peuvent s’en donner à coeur joie chaque année en juillet pendant le Gent Jazz Festival.,3384,7425
9719,Gent Jazz Festival,,Every year in July jazz enthusiasts can have a great time during the Gent Jazz Festival.,3384,8191
9720,Gent Jazz Festival,,Jazzliebhaber können jedem Jahr im Juli ihre Freude am Gent Jazz Festival haben.,3384,7709
9721,Gent Jazz Festival,,Los amantes del jazz pueden disfrutar todos los años en el mes de julio del Gent Jazz Festival.,3384,7875
9722,Journée du patrimoine,Open Monumentendag,"Le patrimoine immobilier est au cœur de la Journée du Patrimoine. Profitez-en pour visiter des valeurs sûres, mais également pour jeter un coup d'œil à des lieux inaccessibles en temps normal.",3387,8822
9723,Flemish Heritage Day ,Open Monumentendag,"On Flemish Heritage Day, heritage buildings take pride of place. As well as visiting famous monuments, you can have a look around places that are otherwise not open to the public. ",3387,8823
9724,Tag des offenen Denkmals ,Open Monumentendag,"Am Tag des offenen Denkmals steht das bauliche Kulturerbe im Mittelpunkt. Dabei können Sie die bekannten Gebäude besuchen, aber sie kommen auch an Orte, die sonst nicht zugänglich sind.",3387,8824
9725,Día de monumentos Abiertos,Open Monumentendag,"En el Día de Monumentos Abiertos el protagonismo lo ocupa el patrimonio arquitectónico. Podrá visitar los edificios conocidos, pero también echar un vistazo a lugares que de otra forma no son accesibles.",3387,8825
9734,Fêtes du quartier Patershol,Patersholfeesten,Le plus ancien quartier de Gand organise en août ses propres fêtes en miniature avec une ambiance maximale.,3384,7409
9735,The Patershol festivities ,Patersholfeesten,"The oldest quarter of Ghent organises its own mini festivities, displaying maximal atmosphere and ambiance.",3384,8175
9736,Die Patersholfeste ,Patersholfeesten,"Für eine gemütlichere Atmosphäre können Sie in den ältesten Stadtteil von Gent, in dem die eigene Patershol Minifeste mit einer großen Atmosphäre und einem tollen Ambiente organisiert werden, gehen.",3384,7693
9741,Fiesta del barrio Patershol,Patersholfeesten,"Quien prefiera fiestas menos bulliciosas, más íntimas, disfrutará con las organizadas en el mes de agosto en el barrio más antiguo de Gante, caracterizadas por su especial ambiente popular.",3384,7859
9743,Les Six Jours,Zesdaagse ,Les meilleurs coureurs cyclistes (les ‘pistiers’) combattent pour la victoire au vélodrome légendaire ‘Het Kuipke’.,3385,11057
9744,The six-days bicycle race,Zesdaagse ,"Every year, the very best track racing cyclists compete for the victory in the legendary 'Kuipke' cycling stadium.",3385,11058
9745,Sechstagerennen,Zesdaagse ,Die allerbesten Radrennfahrer kämpfen in der legendären Kuipke Halle um den Sieg.,3385,11059
9746,Los Seis Días,Zesdaagse ,"Los mejores ciclistas de pista compiten para ganar una medalla de oro, en el legendario velódromo ""Het Kuipke"".",3385,11060
9747,Gand Festival de Flandre,,Gand deviendra l’eldorado des amateurs de musique.,3379,8822
9748,Ghent Festival of Flanders,,Ghent becomes a music-lover’s Mecca.,3379,8823
9749,Gent Flandern Festival,,Gent wird zum Mekka für Musikliebhaber.,3379,8824
9750,Festival de Flandes en Gante,,Durante 3 semanas Gante se convierte en la meca del amante de la música.,3379,8825
9751,Omloop Het Nieuwsblad,,Départ et arrivée de la course d’ouverture de la saison cycliste internationale.,3385,7423
9752,Omloop Het Nieuwsblad,,Departure and arrival of the opening race of the international cycling season.,3385,8189
9753,Omloop Het Nieuwsblad,,Start und Ankunft der Eröffnungsetappe der internationalen Radsaison.,3385,7707
9754,Omloop Het Nieuwsblad,,Salida y llegada de la carrera que inicia la temporada ciclista belga.,3385,7873
9953,Floralien,,Het grootste bloemenevenement van Europa,3387,6801
9954,Floralies,,Les Floralies de Gand innovent!,3387,7361
9955,Floralies,,The Ghent Floralies are getting a makeover.,3387,8128
9956,Floralien,,Die Genter Floralien bekommen ein Makeover. ,3387,7644
9957,Floralias de Gante ,,Las Floralias de Gante van a ser objeto de renovación y se celebrarán en la primavera de 2016.,3387,7812
